No.,Sample_type,Quantity,Sediment_type_pollen_cores,Site_section_name,Site_short,Province,Country,Taxonomic_identification,Dating_method,Dating_result,Reference,longitude,latitude,lon,lat,altitude (masl),location_source,start_date,end_date
1,Pollen sequence,,Loess-palaeosol,Xindian section,Xindian,Shaanxi,China,Fagopyrum. sp,AMS 14C and OSL,from 5500 cal BP,Li et al. 2009,107.8,34.3,107°48'E,34°23'N,608,Li et al. 2009,5500,0
2,Pollen sequence,,Loess-palaeosol,Beizhuangcun section,Beizhuangcun,Shaanxi,China,Fagopyrum. sp,Stratigraphic comparison,from 5000 cal BP,Shang and Li 2010,109.53,34.3,109°32'E,34°21'N,519,Shang and Li 2010,5000,0
3,Pollen sequence,,Alluvial sediment,WangXianggou site,WangXianggou,Inner Mongolia,China,Fagopyrum. sp,AMS 14C,from 4700 cal BP,Li et al. 2006,119.92,42.07,119°55'E,42°04'N,751,Li et al. 2006,4700,0
4,Pollen sequence,,Loess-palaeosol with cultural layers,Xishanping site,Xishanping,Gansu,China,Fagopyrum. sp,AMS 14C,from 4600 cal BP,"Li et al. 2007, Cao et al 2019",105.54,34.56,105°32'41''E,34°33'50''N,1330,Li et al. 2007,4600,0
5,Pollen sequence,,Alluvial sediment,CM97(Chongming island)/ Changjiang River_1997,CM97 (Chongming island),Shanghai,China,Fagopyrum. sp,AMS 14C,4500 cal BP,Yi et al. 2003b; Cao et al. 2013,121.38,31.62,121°23'E,31°37'N,2.48,Yi et al. 2003b,4500,4500
6,Pollen sequence,,Loess-palaeosol,Jingbian section,Jingbian,Shaanxi,China,Fagopyrum. sp,Stratigraphic comparison,4000 cal BP,Cheng and Jiang 2011; Jiang et al. 2013,108.9,37.5,108.9°E,37.5°N,1688,Jiang et al. 2013,4000,4000
7,Pollen sequence,,Loess-palaeosol,Fuxian section,Fuxian,Shaanxi,China,Fagopyrum. sp,Stratigraphic comparison,4000 cal BP,Cheng and Jiang 2011; Jiang et al. 2013,109.3,36.2,109.3°E,36.2°N,1226,Jiang et al. 2013,4000,4000
8,Pollen sequence,,Alluvial sediment,Canduntou,Canduntou,Jiangsu,China,Fagopyrum. sp,AMS 14C,2500-2700 cal BP,Okuda et al. 2003,118.98,31.32,118°59'E,31°19'N,10,Okuda et al. 2003,2700,2500
9,Pollen sequence,,Lake core,Wenhai Lake core,Wenhai Lake,Yunnan,China,Polygonaceae pollen (likely to be Fagopyrum),AMS 14C,2400 cal BP,Yao et al. 2015,100.17,26.98,100°09'54''E,26°58'59''N,3080,Yao et al. 2015,2400,2400
10,Pollen sequence,,Alluvial sediment,H9602,H9602,Shandong,China,Fagopyrum. sp,AMS 14C,1300 cal BP,Yi et al. 2003a,118.9,37.82,118°54.3'E,37°48.8'N,4.9,Yi et al. 2003a,1300,1300
11,Pollen sequence,,Alluvial sediment,Jinchuan site,Jinchuan,Jilin,China,Fagopyrum esculentum,AMS 14C,1100 cal BP,Makohonienko et al. 2008,126.37,42.33,126°22'E,42°20'N,665,Makohonienko et al. 2008,1100,1100
12,Pollen sequence,,Peat,Muchang site,Muchang,Dongbei pingyuan,China,Fagopyrum. sp,AMS 14C,1050 cal BP,Makohonienko et al. 2004,123.46,43.15,123°27'52''E,43°09'05''N,111,Makohonienko et al. 2004,1050,1050
13,Pollen sequence,,Lake core,GH09B,GH09B,Shanxi,China,Fagopyrum. sp,"AMS 14C, 137Cs and 215Pb",1040-680 cal BP,Zhang 2015,112.23,38.9,112°14'E,38°54'N,1860,Liu et al. 2011,1040,680
14,Pollen sequence,,Cultural layers,Lucheng site,Lucheng,Inner Mongolia,China,Fagopyrum esculentum,Archaeological culture,700-600 cal BP,Yao et al. 2013,109.83,40.65,109°50'E,40°39'N,,google maps (coordinates of the city of Lucheng),700,600
15,Starch grains,,0,Chenqi mogou site,Chenqi mogou,Gansu,China,Fagopyrum esculentum,Archaeological culture,4000 cal BP,Li et al. 2010,103.86,34.69,103.86,34.69,2000,Li et al 2017,4000,4000
16,Starch grains,,0,Changning site,Changning,Qinghai,China,Buckwheat (qiaomai),Archaeological culture,4000 cal BP,Qiao 2014,101.73,36.8,101.73,36.8,,Dong et al 2012,4000,4000
17,Charred seeds,,0,Dingjiawa site,Dingjiawa,Beijing,China,Fagopyrum sagittatum ,Archaeological culture ,2720-2420 cal BP,Zhao 2008,115.99,39.72,115.99,39.72,,google maps (coordinates of Dingjiawa village),2720,2420
18,Charred seeds,7,0,Haimenkou site,Haimenkou,Yunnan,China,Fagopyrum esculentum,AMS 14C,2720-2170 cal BP,Xue 2010,99.92,26.43,99.92,26.43,,"d’Alpoim Guedes and Bocinsky, 2018 [dataset]",2720,2170
19,Charred seeds,149,0,Xueshan site,Xueshan,Yunnan,China,Fagopyrum esculentum,Archaeological culture,2430-1940 cal BP,Wang 2014,102.91,24.67,102.91,24.67,,google maps (coordinates of the Chengjiang county),2430,1940
20,Charred seeds,,0,Yingpandi site,Yingpandi,Qinghai,China,Buckwheat (qiaomai),AMS 14C,2250 cal BP,Jia 2012,102.61,36.23,102.61,36.23,,"d’Alpoim Guedes and Bocinsky, 2018 [dataset]",2250,2250
21,Charred seeds,,0,Yangjiawan Han Dynasty tomb,Yangjiawan,Shaanxi,China,Buckwheat (qiaomai),Archaeological culture,2150-1940 cal BP,Shi 1977,108.71,34.33,108.71,34.33,,google maps (coordinates of Xiangyang),2150,1940
22,Charred seeds,,0,Maquan Han Dynasty tomb,Maquan,Shaanxi,China,Buckwheat (qiaomai),Archaeological culture,2150-1940 cal BP,Li 1979,108.82,34.73,108.82,34.73,,goodle maps (coordinates of Maquan),2150,1940
23,Charred seeds,,0,Mozuizi site,Mozuizi,Gansu,China,Buckwheat (qiaomai),Archaeological culture,2150-1930 cal BP,Zhu 2011,102.65,37.79,102.65,37.79,,"d’Alpoim Guedes and Bocinsky, 2018 [dataset]",2150,1930
24,Charred seeds,,0,Kyung-lung Mesa/Kaerdong,Kyung-lung Mesa,Tibet,China,Fagopyrum sp.,AMS 14C,1256-1070 cal BP,d'Alpoim Guedes et al. 2014,80.66,31.14,80.66,31.14,,Song et al. 2018,1256,1070
25,Charred seeds,2,0,Kyung-lung Mesa/Kaerdong,Kyung-lung Mesa,Tibet,China,Fagopyrum tataricum,Stratigraphic comparison,1375-1290 cal BP,"Song et al., 2018",80.66,31.14,80.66,31.14,,Song et al. 2018,1375,1290
26,Charred seeds,4,0,Bayantala site,Bayantala,Inner Mongolia,China,Fagopyrum esculentum,Archaeological culture,1040-830 cal BP,Sun 2013,118.54,44.94,118.54,44.94,,google maps (coordinates of Bayantala),1040,830
27,Charred seeds,4,0,Sunchangqing site,Sunchangqing,Jilin,China,Fagopyrum esculentum,Archaeological culture,1030-720 calBP,Yang et al. 2010,122.62,45.71,122.62,45.71,,google maps (coordinates of Sunchangqing),1030,720
28,Charred seeds,3,0,Donghuishan,Donghuishan,Gansu,China,Buckwheat ,AMS 14C,3610-3458 calBP,Wei 2019,100.73,38.67,100°44'E,38°40'N,,Xinying et al. 2011,3610,3458
29,Pollen sequence,,Loess-paleosol,Heshui,Heshui,Shaanxi,China,Fagopyrum. sp,Stratigraphic comparison,pre 4000 cal BP, Jiang et al. 2013,35.78,108.29,35.78,108.29,1475,Jiang et al. 2013,11000,4000
30,Pollen sequence,,Alluvial sediment,HQ98 (Chongming island)/ Changjiang River_1998,HQ98 (Chongming island),Jiangsu,China,Fagopyrum. sp,AMS 14C,5000 cal BP,Yi et al. 2003b; Cao et al. 2013,120.23,32.25,120°14'E,32°15'N,5.91,Yi et al. 2003b,5000,4500
31,Pollen sequence,,,Charisu,Charisu,Inner Mongolia,China,Fagopyrum. sp,,900-50 cal BP,Cao et al. 2013,122.35,42.96,122.35,42.96,249,Cao et al. 2013,900,50
32,Pollen sequence,,,Luochuan,Luochuan,Shaanxi,China,Fagopyrum. sp,,13200 cal BP,Cao et al. 2013,109.42,35.75,109.42,35.75,1068,Cao et al. 2013,13200,13200
33,Pollen sequence,,Lake core,Shayema Lake,Shayema Lake,Sichuan,China,Fagopyrum. sp,Stratigraphic comparison,700 cal BP,Jarvis 1993; Cao et al. 2013,102.22,28.58,102.22,28.58,2400,Jarvis 1993,700,700
34,Pollen sequence,,Paloesol,Wangjiadian,Wangjiadian,Henan,China,Fagopyrum. sp,Stratigraphic comparison,8200-2600 cal BP,"Cao et al., 2010; Cao et al. 2013",114.4,36.1,114°24'5.52''E,36°5'47.66''N,67,"Cao et al., 2010",8200,2600
35,Pollen sequence,,Lake core,Sihailongwan Lake,Sihailongwan Lake,Jilin,China,Fagopyrum. sp,Stratigraphic comparison,5600 cal BP,Cao et al. 2013,126.6,42.28,126°36'E,42°17'N,797,"Stebich et al., 2015",5600,5600
36,Pollen sequence,,Lake core,Tso Moriri Lake,Tso Moriri Lake,,India,Fagopyrum. sp,,1100 cal BP,Cao et al. 2013,78.31,32.09,78°19'E,32°54'N,4512,"Leipe et al., 2014",1100,1100
37,Charred seeds,,0,Mebrak,Mebrak,Mustang,Nepal,Fagopyrum esculentum,Stratigraphic comparison,from 2850 cal BP,Knorzer 2000,28.83,83.84,28.83,83.84,3500,"d’Alpoim Guedes and Bocinsky, 2018 [dataset]",2850,150
38,Charred seeds,,0,Mebrak,Mebrak,Mustang,Nepal,Fagopyrum tataricum,Stratigraphic comparison,from 2850 cal BP,Knorzer 2000,28.83,83.84,28.83,83.84,3500,"d’Alpoim Guedes and Bocinsky, 2018 [dataset]",2850,150
39,Charred seeds,,0,Phudzeling,Phudzeling,Mustang,Nepal,Fagopyrum esculentum,Stratigraphic comparison,from 2850 cal BP,Knorzer 2001,28.828414,28.828414,28.828414,28.828414,3000,Stevens et al. 2016,2850,150
40,Charred seeds,,0,Phudzeling,Phudzeling,Mustang,Nepal,Fagopyrum tataricum,Stratigraphic comparison,from 2850 cal BP,Knorzer 2001,28.828414,28.828414,28.828414,28.828414,3000,Stevens et al. 2016,2850,150
